Oscilloscope data. 
Time step = 80,00 nS
Voltage step = 31,25 mV
Zero level = 95

N 	Min. 	Max.	T min 	T max.
805	99	99	0	0
806	98	99	0	0
807	98	99	0	0
808	98	99	0	0
809	98	99	0	0
810	98	99	0	0
811	98	99	0	0
812	97	98	0	0
813	98	98	0	0
814	97	98	0	0
815	97	98	0	0
816	97	98	0	0
817	97	98	0	0
818	97	97	0	0
819	97	98	0	0
820	97	98	0	0
821	97	98	0	0
822	97	97	0	0
823	97	97	0	0
824	97	97	0	0
825	97	97	0	0
826	96	97	0	0
827	97	97	0	0
828	96	97	0	0
829	96	97	0	0
830	96	97	0	0
831	96	97	0	0
832	96	97	0	0
833	96	97	0	0
834	96	96	0	0
835	96	97	0	0
836	96	96	0	0
837	96	96	0	0
838	96	96	0	0
839	96	96	0	0
840	96	96	0	0
841	96	96	0	0
842	95	96	0	0
843	95	96	0	0
844	95	96	0	0
845	95	96	0	0
846	96	96	0	0
847	95	96	0	0
848	95	96	0	0
849	95	97	0	0
850	95	96	0	0
851	95	96	0	0
852	95	96	0	0
853	95	97	0	0
854	95	96	0	0
855	95	97	0	0
856	95	96	0	0
857	95	96	0	0
858	95	97	0	0
859	95	96	0	0
860	95	96	0	0
861	95	96	0	0
862	95	97	0	0
863	95	96	0	0
864	95	96	0	0
865	95	96	0	0
866	95	96	0	0
867	95	96	0	0
868	95	97	0	0
869	95	96	0	0
870	95	97	0	0
871	95	96	0	0
872	95	96	0	0
873	95	96	0	0
874	95	96	0	0
875	95	96	0	0
876	94	96	0	0
877	95	96	0	0
878	95	96	0	0
879	95	96	0	0
880	95	96	0	0
881	95	96	0	0
882	95	96	0	0
883	95	96	0	0
884	95	96	0	0
885	95	96	0	0
886	95	96	0	0
887	95	97	0	0
888	95	96	0	0
889	95	96	0	0
890	95	96	0	0
891	95	96	0	0
892	95	96	0	0
893	95	96	0	0
894	95	96	0	0
895	95	97	0	0
896	96	97	0	0
897	95	96	0	0
898	95	96	0	0
899	95	97	0	0
900	95	97	0	0
901	95	96	0	0
902	95	97	0	0
903	96	96	0	0
904	96	96	0	0
905	96	96	0	0
906	96	97	0	0
907	96	97	0	0
908	96	97	0	0
909	96	97	0	0
910	96	97	0	0
911	96	97	0	0
912	96	97	0	0
913	96	97	0	0
914	96	97	0	0
915	97	97	0	0
916	97	97	0	0
917	96	97	0	0
918	97	97	0	0
919	96	97	0	0
920	97	97	0	0
921	97	97	0	0
922	97	97	0	0
923	97	97	0	0
924	97	98	0	0
925	97	98	0	0
926	97	98	0	0
927	97	98	0	0
928	97	98	0	0
929	97	98	0	0
930	98	98	0	0
931	98	99	0	0
932	98	99	0	0
933	98	99	0	0
934	98	99	0	0
935	98	99	0	0
936	98	99	0	0
937	98	99	0	0
938	99	99	0	0
939	99	99	0	0
940	99	99	0	0
941	99	99	0	0
942	99	99	0	0
943	99	100	0	0
944	99	100	0	0
945	99	100	0	0
946	99	100	0	0
947	99	100	0	0
948	99	101	0	0
949	99	101	0	0
950	100	100	0	0
951	100	101	0	0
952	100	101	0	0
953	100	101	0	0
954	100	101	0	0
955	100	101	0	0
956	101	101	0	0
957	101	101	0	0
958	101	101	0	0
959	101	101	0	0
960	101	102	0	0
961	101	102	0	0
962	101	102	0	0
963	102	102	0	0
964	101	102	0	0
965	102	102	0	0
966	102	103	0	0
967	102	103	0	0
968	102	103	0	0
969	102	103	0	0
970	102	103	0	0
971	103	103	0	0
972	103	103	0	0
973	103	104	0	0
974	103	104	0	0
975	103	104	0	0
976	104	104	0	0
977	104	104	0	0
978	103	104	0	0
979	104	105	0	0
980	104	105	0	0
981	104	105	0	0
982	105	105	0	0
983	104	105	0	0
984	105	106	0	0
985	105	106	0	0
